,Pitcher,o-xwOBA,o-xBA,o-xSLG
108,Bryan Pena,0.3237817585468292,0.2993828058242798,0.4578657476231456
109,Alec Whaley,0.3564106225967407,0.3362647294998169,0.49455085303634405
110,Griffin Baker,0.3228529393672943,0.2864372134208679,0.47288631554692984
111,Adrien Reese,0.3873487710952759,0.3432937264442444,0.5670899078249931
112,Jon Beymer,0.3426874876022339,0.3280382752418518,0.4690995514392853
113,Nate Florence,0.32927435636520386,0.32016152143478394,0.44397763162851334
114,Javier Reynoso,0.32425326108932495,0.3028641939163208,0.4544145790860057
115,Chris Burica,0.34355437755584717,0.3206092119216919,0.48115389700978994
116,Elijah Gill,0.3539388179779053,0.3154138922691345,0.5160008613020182
117,Kenny Mathews,0.31889230012893677,0.3056299686431885,0.435953707434237
118,Zac Ryan,0.3075980544090271,0.2749413251876831,0.44742338359355927
119,Mike Reagan,0.3423740565776825,0.30835044384002686,0.49444530718028545
