,Batter,Avg. EV,Max EV,90th Percentile EV,Avg. LA,Avg. Direction,Approach Type
101,Jaylen Smith,81.29677093154824,104.0096718,95.96408733,24.037287067181794,-7.744230244539841,Pull
102,Tristin Garcia,83.51535303130844,106.1476742,98.061737492,19.95608409297196,-12.28671288584112,Oppo
103,Jeremiah Burks,82.34652419757373,104.85661618000124,98.67891052200001,18.66897535802194,-1.1204433680317076,Gap-to-gap
104,Phillip Steering,85.25514023175525,106.7612583,100.29722799667061,22.578350736154515,-3.1861617171321344,Gap-to-gap
105,Alex Toral,87.38920102492696,110.58350652647252,104.36394512,26.716489555237345,2.4065082290013153,Gap-to-gap
106,Travis Holt,82.30161651157937,103.14265536566278,95.759535833,22.422027358397234,-1.8831981683218864,Gap-to-gap
107,Jc Santini,79.76430832029561,101.8401674,96.96813504229958,24.692487590051268,-3.9367258153191043,Gap-to-gap
108,Tristan Peterson,83.62907388719437,103.9438216,99.3815551264303,24.700613414880298,1.3194473699833242,Gap-to-gap
109,Melvin Novoa,83.84838321658661,107.44986178732614,102.73728706817532,20.73057553045759,-6.017777119089694,Pull
110,Scotty Dubrule,82.18032543327068,102.061515,94.83973648056386,18.905758020068987,-11.657999035730352,Oppo
111,Marcos Castillo,81.77781235122436,103.1949781,98.40842978820383,18.694031015451078,11.924420127147888,Oppo
112,John Tuccillo,79.6729505193329,104.08111309160418,97.5671080317386,22.677830877196044,9.900205151557238,Oppo
113,Jonathan Lacroix,79.4769670601664,106.0155895,97.73996451,26.00391487831865,-15.395292779185462,Oppo
114,Jason Agresti,84.52179880244918,107.16134510719932,101.13762694,22.95650416453659,6.251419986287231,Oppo
115,Jr Disarcina,79.52643529470596,103.7019423966526,96.230774156,21.346787410190206,7.787390728188483,Oppo
116,Troy Viola,80.70480746690599,105.4950314,98.50703212271311,28.00404789270284,15.288722801216148,Oppo
117,Tyler Depreta-johnson,81.86087383395504,100.18373734766033,95.50250305463864,26.639041501657754,13.761996717390895,Oppo
118,Liam Mcarthur,79.47764605399654,100.8513038,94.21718553237004,17.442078566105227,-14.672021301839253,Oppo
119,Robert Chayka,80.08874842698577,102.21161402611791,97.292400465,22.871073377595668,-1.0118964212936457,Gap-to-gap
120,Wagner Lagrange,86.44257594550585,107.4243888,102.7389788,26.33145469211574,1.7791264431167118,Gap-to-gap
121,Andrew Czech,88.62846970760151,113.5671967,105.72757478706124,27.464565668319164,-2.0551255438569043,Gap-to-gap
122,Luis Atiles,82.00204176354528,103.8523429,97.0276528643094,25.45406549860921,9.64314436121113,Oppo
123,Christian Fedko,82.2218896935842,100.7385454,95.146915902,26.789461094564842,2.324011755516531,Gap-to-gap
124,Lane Baremore,82.23315491496403,104.02725510229202,96.65571099200001,17.991484422575216,5.660086084157894,Oppo
125,Paul Coumoulous,77.04803946107508,103.0958036006264,96.01222533800001,18.4298885642145,-4.3555752890848485,Gap-to-gap
126,Nick Gotta,78.87111861125288,101.3080194663092,96.11650061799999,22.15092112042325,-11.832193456133021,Oppo
127,Todd Isaacs jr.,82.6072783377189,105.4434118,98.070970433,22.226964049189494,-5.209275898356425,Pull
128,Jarrod Watking,80.75325747301518,103.3239697917727,96.412566196,25.9630577304639,0.17509635181843222,Gap-to-gap
129,Kemuel Thomas-rivero,85.25561403156244,106.100105,101.78254720379357,25.56886064381898,-0.023912321411451422,Gap-to-gap
130,Josh Rego,84.7046556502898,103.2923847,99.638017515,24.028797902949282,14.465207864202897,Oppo
131,Zach Racusin,81.10013164174961,104.8272837,95.97460858,20.968171282341903,18.085382028006162,Oppo
132,Will Riley,79.73918426092598,101.38928521946056,97.924088328,23.880568430424667,-6.416872275635897,Pull
133,Lane Hoover,75.06129396369748,96.69388653,90.41612644,16.97951572131092,-19.152684933336126,Oppo
134,Ed Johnson,79.9453253369524,99.84404201,95.305186404,22.3697459358,-0.7035761856380921,Gap-to-gap
