,Name,Age,Team,PA,1B,2B,3B,HR,R,SO,SB,BB,HBP,wOBA,wRAA,BA,SLG,OBP,BAbip,bat-WAR,Reliability
89,Ian Walters,26.0,Tri-City Valley Cats,341.508,51,15,2,10,49,75,2,32,9,0.32290828402366867,4.81106464293077,0.2635135135135135,0.42905405405405406,0.3484545017979081,0.32075471698113206,0.481106464293077,1.0
90,Ivan Marin,35.0,Ottawa Titans,131.04189044038668,18,4,0,2,16,29,3,12,3,0.2575968992248062,-4.805730347333211,0.21238938053097345,0.3008849557522124,0.29761475409836063,0.26506024096385544,-0.4805730347333211,0.10999999999999999
91,J.C. Santini,25.0,Washington WildThings,232.41199999999998,28,9,1,4,25,51,4,21,6,0.26368859649122806,-7.658791497743232,0.21212121212121213,0.3282828282828283,0.2968865635165138,0.2602739726027397,-0.7658791497743233,0.47
92,J.P. Fullerton,26.0,Joliet Slammers,209.55360000000002,28,6,0,4,23,59,2,30,6,0.2950917874396135,-1.3933918234407605,0.2275449101796407,0.33532934131736525,0.35313160928755216,0.3148148148148148,-0.13933918234407605,0.785
93,J.R. DiSarcina,26.0,Empire State Greys,327.8,57,9,0,5,34,76,3,17,4,0.2573425925925926,-13.864516786541547,0.23588039867109634,0.31561461794019935,0.2806589383770592,0.2972972972972973,-1.3864516786541548,0.875
94,Jack Cone,24.0,Washington WildThings,140.266,20,4,0,2,18,30,4,13,3,0.2586376811594203,-4.958101427996463,0.21487603305785125,0.2975206611570248,0.29943108094620224,0.26666666666666666,-0.4958101427996463,0.08250000000000002
95,Jack Harris,26.0,Lake Erie Crushers,331.85279999999995,63,16,2,20,59,91,8,18,4,0.3978151515151515,26.319973903192537,0.32792207792207795,0.5876623376623377,0.37064626243925025,0.41116751269035534,2.6319973903192535,1.0
96,Jackie Urbaez,26.0,Ottawa Titans,337.57439999999997,55,10,1,5,51,59,6,34,23,0.29346951219512196,2.931797618291815,0.26394052044609667,0.3643122676579926,0.3791756720888788,0.3188405797101449,0.2931797618291815,1.0
97,Jackson Pritchard,28.0,Lake Erie Crushers,231.63400000000001,32,4,1,4,22,80,1,29,1,0.27511353711790393,-7.1082398947424394,0.20812182741116753,0.29949238578680204,0.306518041392887,0.3217391304347826,-0.710823989474244,1.0
98,Jackson Valera,32.0,Sussex County Miners,166.48590021691976,40,3,0,5,13,22,0,6,2,0.32271515151515157,1.4766634301660044,0.3057324840764331,0.42038216560509556,0.3363648208469055,0.33076923076923076,0.14766634301660045,1.0
99,Jacob Olson,27.0,Evansville Otters,179.679,22,8,0,4,21,37,3,16,3,0.2757386363636364,-4.412597162485866,0.21794871794871795,0.34615384615384615,0.2949704751250842,0.25862068965517243,-0.4412597162485866,0.25749999999999995
100,Jacob Talamante,26.0,Ottawa Titans,204.66639999999998,28,8,0,1,26,53,6,24,2,0.265592039800995,-6.728796711129837,0.21264367816091953,0.27586206896551724,0.3078179906423331,0.2975206611570248,-0.6728796711129836,0.6825
101,Jairus Richards,27.0,Gateway Grizzlies,402.4098,63,12,1,12,64,69,55,49,16,0.32651127819548875,20.987029427531482,0.26426426426426425,0.4144144144144144,0.3802094282992114,0.30039525691699603,2.0987029427531483,1.0
102,Jake Boone,25.0,Windy City ThunderBolts,396.8974,62,18,1,4,46,79,21,28,8,0.26957106598984776,-7.712930243671562,0.2401129943502825,0.3305084745762712,0.3048646829130148,0.29454545454545455,-0.7712930243671562,1.0
103,Jake Gitter,25.0,Ottawa Titans,190.00279999999998,20,7,0,5,21,62,4,22,3,0.275,-4.723397443692116,0.19753086419753085,0.3333333333333333,0.29999557901251983,0.28125,-0.4723397443692116,0.595
104,Jake Green,25.0,Evansville Otters,212.046,32,8,0,3,26,42,4,20,7,0.27685714285714286,-4.1514877075674885,0.23756906077348067,0.3314917127071823,0.3301170500740406,0.2898550724637681,-0.41514877075674883,0.385
105,Jake Sanford,26.0,Ottawa Titans,241.1416,45,6,0,8,34,35,2,22,4,0.32863179916317986,3.9920174715787056,0.2796208530805687,0.4218009478672986,0.3524899892843043,0.3,0.39920174715787055,1.0
106,Jakob Goldfarb,28.0,Tri-City Valley Cats,348.09999999999997,46,18,0,15,70,62,22,39,25,0.3474393063583815,20.877256994013205,0.2841726618705036,0.5107913669064749,0.4108014938236139,0.3121951219512195,2.0877256994013207,0.975
107,James Nelson,26.0,New Jersey Jackals,376.67199999999997,74,20,1,26,96,84,29,46,12,0.469096,61.020935817086624,0.3829113924050633,0.6993670886075949,0.4752145102370232,0.45893719806763283,6.102093581708663,1.0
108,Jamey Smart,28.0,Ottawa Titans,372.28999999999996,91,19,0,7,58,49,1,59,7,0.43111382113821134,38.34429761684629,0.39,0.5233333333333333,0.49155228450938787,0.44534412955465585,3.8344297616846292,1.0
